0,100,0,0,0.115425
0.00196182834237,99.6935373511,0.0313774603479,2.4508224613,0.10954288421
0.0302186114558,98.7757337147,0.238947031895,4.88696333727,0.105134771137
0.148206167636,97.2541519649,0.774137180211,7.2719335776,0.105826101782
0.458597861805,95.1508678073,1.80142767549,9.52195193942,0.109740265467
1.10619317812,92.5183747614,3.4892628806,11.4724540275,0.108374954094
2.25537036335,89.4557117349,5.81169826406,12.9244293883,0.0862366704129
3.99168244451,86.0751622207,8.16057489307,14.0181819153,0.08696776349
6.37441760648,82.5072003275,10.9601638651,14.3925555014,0.0633210392852
9.39323824121,78.8539606835,13.2305651491,14.7393818139,0.0458175060113
12.9218029734,75.0979129048,15.0293060504,15.2445885786,0.0456428238732
16.920179451,71.2646333177,16.9786952056,15.3507052804,0.0425423516629
21.401121677,67.4366217795,18.8805030023,15.2056211947,0.0415853748563
26.35763769,63.6882057174,20.7721449717,14.7143734586,0.0432348389263
31.7935288448,60.1290677628,22.6982329928,13.6882358993,0.0311273980301
37.6286725061,56.7468700874,23.9810956573,13.3294697704,0.0282971932509
43.7657609156,53.4509148862,25.1133865887,13.0045588204,0.0380055619182
50.2357577701,50.3836747553,26.6122047538,11.4832466005,0.0198228748871
56.9634182976,47.4863307173,27.2126363343,11.6791596708,0.0284641278937
63.8888140894,44.673781984,28.1745228306,10.7941135519,0.0343894638943
71.0682749845,42.1899061353,29.2200003789,9.0462557317,0.0356692651665
78.4812505317,40.1833781834,30.0319953331,6.98425483289,0.0279807061539
86.0385596602,38.5834015548,30.4029320912,5.8084313024,0.0186531688362
93.6495408965,37.1320015932,30.4846835168,5.80067147255,0.0168959132707
101.276251317,35.6558250595,30.5313735817,6.00674043575,0.0184003413231
108.92039766,34.1540184059,30.6216364455,6.00538530537,0.0159372523643
116.58029116,32.6142480761,30.6608911187,6.31057888966,0.018933032198
124.261036808,31.0488741456,30.7835288245,6.20961691001,0.0183911161234
131.969745694,29.5018395555,30.8853856207,6.16421710999,0.0179100186271
139.701985335,27.9599777049,30.9724440098,6.16844071823,0.0250402063926
147.474190113,26.5375257632,31.1875925,5.20866318819,0.0298036569881
155.295212215,25.4359644481,31.3460197171,3.60534523023,0.0272466656461
163.128095494,24.6896133198,31.2932797092,2.3724267499,0.0221737359534
170.928448474,24.1613110696,31.1021569825,1.86161376173,0.0196454395772
178.674910747,23.7135332073,30.8684732201,1.72745792096,0.0175292955052
186.361490367,23.2601987611,30.62711933,1.90464475977,0.0155659103687
193.988868843,22.7275874772,30.3975208348,2.35995233157,0.0173974014653
201.5645833,22.1071953176,30.2116910392,2.60691000689,0.0218103108767
209.100067367,21.4906148192,30.068481115,2.3309130835,0.0233053146232
216.597915391,20.9618823686,29.9080477368,1.90537841959,0.0228494707989
224.051028847,20.5276099415,29.7123959149,1.57581121716,0.023330870381
231.452155052,20.1774901807,29.4919798532,1.23299260359,0.0238443863374
238.794915096,19.9145593246,29.2453383029,0.879188016589,0.0229995009836
246.072844731,19.7212525107,28.9759659105,0.67592104404,0.0228884943956
253.282074522,19.5706783158,28.6967951431,0.537333580692,0.0221996302861
260.421089458,19.4387528483,28.4161583862,0.526155682687,0.0214712753588
267.490895827,19.2937775465,28.1448097977,0.64086509799,0.0214423990472
274.494876724,19.1144776769,27.8900576741,0.80011902593,0.0230750929794
281.437408067,18.9119348181,27.6513683027,0.827097286333,0.024970419973
288.321062688,18.7219418161,27.4166703557,0.70045117324,0.0260672953053
295.145097158,18.571752363,27.1733432684,0.509330551139,0.0267726750174
301.906602095,18.4718375733,26.9161302934,0.298860556609,0.0278876789239
308.601653606,18.4313707406,26.6407923321,0.0346919170754,0.0293662149169
315.224713543,18.4670566786,26.3387535937,-0.308957367322,0.028440409371
321.76955842,18.5693425975,26.0180356617,-0.498243336199,0.0272658141941
328.233887803,18.6973250833,25.6975485797,-0.515376627029,0.0265042605759
334.619544681,18.8136104088,25.3905361988,-0.405667902742,0.0287239206537
340.929383493,18.919671232,25.0888461031,-0.432888857542,0.0316849637845
347.162547327,19.0563524222,24.773793841,-0.649020215877,0.0342285719954
353.313234668,19.264422275,24.4263588673,-1.00193672354,0.0349472434706
359.372826515,19.5574893257,24.0457193675,-1.32778407984,0.0343606775126
365.334877992,19.915122013,23.6488743435,-1.51849032544,0.0337833212988
371.19741388,20.3039718773,23.2520919768,-1.57809603081,0.0328615860261
376.962592266,20.688888118,22.8725380292,-1.48829712211,0.0310019243877
382.637306178,21.0256636707,22.5312764411,-1.19525273821,0.0291796246871
388.232820875,21.2660891088,22.240985503,-0.720015797231,0.0280223422059
393.762547784,21.3724522035,22.0059667037,-0.125037501885,0.0277851112891
399.240454623,21.3242165038,21.8266086267,0.514837756908,0.0282119036121
404.680491536,21.1169645691,21.7027312426,1.14535833422,0.0289668349706
410.096468917,20.7569089843,21.633607603,1.73562323942,0.0299023388735
415.501894358,20.2567448937,21.6175897956,2.26465542303,0.0304829138721
420.909450712,19.6301134265,21.6500632333,2.74586814661,0.0311890909435
426.330984833,18.8911018074,21.7286052999,3.1623065822,0.0322867636361
431.777821556,18.0601533191,21.8511764815,3.48009418513,0.033176636945
437.259862307,17.1612286926,22.0088883152,3.7051161914,0.0294223967342
442.779924066,16.1793213179,22.1581777416,4.14389222576,0.0290507374404
448.3416369,15.0895161699,22.3419041814,4.56725225771,0.0313347776714
453.957215113,13.9195711182,22.5863557052,4.78338527545,0.0306837786203
459.635440901,12.6965850328,22.8429381096,4.99128809577,0.0291261154682
465.37768904,11.4143648602,23.0993214563,5.2572964751,0.0322253135255
