-3,-0.99505
-2.8749,-0.99365
-2.7273,-0.99148
-2.5845,-0.98868
-2.4545,-0.98535
-2.3208,-0.9809
-2.1818,-0.97486
-2.0314,-0.96618
-1.9091,-0.95701
-1.7571,-0.94218
-1.6364,-0.92696
-1.5048,-0.90601
-1.3636,-0.87723
-1.2325,-0.84332
-1.0909,-0.79721
-0.93879,-0.73467
-0.81818,-0.67408
-0.67193,-0.58625
-0.54545,-0.49711
-0.40192,-0.38159
-0.27273,-0.26616
-0.13763,-0.13677
0,0
0.1364,0.13556
0.27273,0.26616
0.41451,0.3923
0.54545,0.49711
0.69275,0.59974
0.81818,0.67408
0.95221,0.74078
1.0909,0.79721
1.2282,0.84205
1.3636,0.87723
1.5001,0.90517
1.6364,0.92696
1.7827,0.94498
1.9091,0.95701
2.039,0.96668
2.1818,0.97486
2.3249,0.98105
2.4545,0.98535
2.5575,0.98806
2.7273,0.99148
2.8611,0.99348
3,0.99505
