-3,-3
-2.8749,-2.8749
-2.7273,-2.7273
-2.5845,-2.5845
-2.4545,-2.4545
-2.3208,-2.3208
-2.1818,-2.1818
-2.0314,-2.0314
-1.9091,-1.9091
-1.7571,-1.7571
-1.6364,-1.6364
-1.5048,-1.5048
-1.3636,-1.3636
-1.2325,-1.2325
-1.0909,-1.0909
-0.93879,-0.93879
-0.81818,-0.81818
-0.67193,-0.67193
-0.54545,-0.54545
-0.40192,-0.40192
-0.27273,-0.27273
-0.13763,-0.13763
0,0
0.1364,0.1364
0.27273,0.27273
0.41451,0.41451
0.54545,0.54545
0.69275,0.69275
0.81818,0.81818
0.95221,0.95221
1.0909,1.0909
1.2282,1.2282
1.3636,1.3636
1.5001,1.5001
1.6364,1.6364
1.7827,1.7827
1.9091,1.9091
2.039,2.039
2.1818,2.1818
2.3249,2.3249
2.4545,2.4545
2.5575,2.5575
2.7273,2.7273
2.8611,2.8611
3,3
